Id,properties._n_name,properties.n_name,modularity_class
105380,FATIGUE|TIRED|TIREDNESS|MALAISE,"['FATIGUE', 'TIRED', 'TIREDNESS', 'MALAISE']",40
79266,ABNORMAL HEART RATE|ABNORMALITY OF CARDIAC CONDUCTION|ARRHYTHMIAS|CARDIAC ARRHYTHMIA|CARDIAC ARRHYTHMIAS|CARDIAC CONDUCTION ABNORMALITIES|CARDIAC CONDUCTION DEFECTS|CARDIAC RHYTHM DISTURBANCES|HEART RHYTHM DISORDERS|IRREGULAR HEART BEAT|IRREGULAR HEARTBEAT|ARRHYTHMIA,"['ABNORMAL HEART RATE', 'ABNORMALITY OF CARDIAC CONDUCTION', 'ARRHYTHMIAS', 'CARDIAC ARRHYTHMIA', 'CARDIAC ARRHYTHMIAS', 'CARDIAC CONDUCTION ABNORMALITIES', 'CARDIAC CONDUCTION DEFECTS', 'CARDIAC RHYTHM DISTURBANCES', 'HEART RHYTHM DISORDERS', 'IRREGULAR HEART BEAT', 'IRREGULAR HEARTBEAT', 'ARRHYTHMIA']",40
166466,ABSENT/HYPOPLASTIC CORPUS CALLOSUM|AGENESIS/HYPOPLASTIC CORPUS CALLOSUM|COMPLETE OR PARTIAL ABSENCE OF THE CORPUS CALLOSUM|HYPOPLASIA OR ABSENCE OF THE CORPUS CALLOSUM|HYPOPLASTIC OR ABSENT CORPUS CALLOSUM|APLASIA/HYPOPLASIA OF THE CORPUS CALLOSUM,"['ABSENT/HYPOPLASTIC CORPUS CALLOSUM', 'AGENESIS/HYPOPLASTIC CORPUS CALLOSUM', 'COMPLETE OR PARTIAL ABSENCE OF THE CORPUS CALLOSUM', 'HYPOPLASIA OR ABSENCE OF THE CORPUS CALLOSUM', 'HYPOPLASTIC OR ABSENT CORPUS CALLOSUM', 'APLASIA/HYPOPLASIA OF THE CORPUS CALLOSUM']",40
160471,ABNORMAL PATTERN OF RESPIRATION|ABNORMAL RESPIRATORY PATTERNS|UNUSUAL BREATHING PATTERNS,"['ABNORMAL PATTERN OF RESPIRATION', 'ABNORMAL RESPIRATORY PATTERNS', 'UNUSUAL BREATHING PATTERNS']",40
132169,DIARRHEA|DIARRHOEA|WATERY STOOL,"['DIARRHEA', 'DIARRHOEA', 'WATERY STOOL']",40
131756,RASH|EXANTHEM|SKIN RASH,"['RASH', 'EXANTHEM', 'SKIN RASH']",40
186831,MUSCLE STIFFNESS,MUSCLE STIFFNESS,40
129325,HEART PALPITATIONS|MISSED HEART BEAT|PALPITATIONS|SKIPPED HEART BEAT,"['HEART PALPITATIONS', 'MISSED HEART BEAT', 'PALPITATIONS', 'SKIPPED HEART BEAT']",40
186298,HOARSE VOICE|HOARSENESS|HUSKY VOICE,"['HOARSE VOICE', 'HOARSENESS', 'HUSKY VOICE']",40
86489,ABNORMALITY OF THE NOSE|ANOMALY OF THE NOSE|NASAL ABNORMALITY|NASAL ANOMALY|DEFORMITY OF THE NOSE|MALFORMATION OF THE NOSE|NASAL DEFORMITY|NASAL MALFORMATION,"['ABNORMALITY OF THE NOSE', 'ANOMALY OF THE NOSE', 'NASAL ABNORMALITY', 'NASAL ANOMALY', 'DEFORMITY OF THE NOSE', 'MALFORMATION OF THE NOSE', 'NASAL DEFORMITY', 'NASAL MALFORMATION']",40
