Id,properties._n_name,properties.n_name,modularity_class
5381165,,,5
5391601,,,5
5392133,,,5
5381155,,,5
5381157,,,5
5381159,,,5
5381161,,,5
5381163,,,5
5381167,,,5
5381169,,,5
5381171,,,5
5381173,,,5
5381175,,,5
5381177,,,5
5381179,,,5
5381297,,,5
95420,RESTLESSNESS,['RESTLESSNESS'],5
66313,BROCA'S APHASIA|EXPRESSIVE APHASIA|LOSS OF EXPRESSIVE SPEECH|MOTOR APHASIA,"[""BROCA'S APHASIA"", 'EXPRESSIVE APHASIA', 'LOSS OF EXPRESSIVE SPEECH', 'MOTOR APHASIA']",5
139869,BRAINDRUSE|NEURITIC PLAQUES|SENILE DRUSE|SENILE PLAQUES,"['BRAINDRUSE', 'NEURITIC PLAQUES', 'SENILE DRUSE', 'SENILE PLAQUES']",5
65958,BRAIN TUMOR|BRAIN TUMOUR|BRAIN NEOPLASM,"['BRAIN TUMOR', 'BRAIN TUMOUR', 'BRAIN NEOPLASM']",5
164259,SPOKEN WORD RECOGNITION DEFICIT,SPOKEN WORD RECOGNITION DEFICIT,5
156759,ABNORMAL BRAIN FDG PET SCAN|ABNORMAL BRAIN FDG POSITRON EMISSION TOMOGRAPHY,"['ABNORMAL BRAIN FDG PET SCAN', 'ABNORMAL BRAIN FDG POSITRON EMISSION TOMOGRAPHY']",5
157444,EEG WITH CONTINUOUS SLOW ACTIVITY,EEG WITH CONTINUOUS SLOW ACTIVITY,5
127653,TEMPORAL CORTICAL ATROPHY,TEMPORAL CORTICAL ATROPHY,5
191436,GRAMMAR-SPECIFIC SPEECH DISORDER,['GRAMMAR-SPECIFIC SPEECH DISORDER'],5
174926,"CEREBRAL ATROPHY, FRONTOTEMPORAL|FRONTOTEMPORAL CEREBRAL ATROPHY","['CEREBRAL ATROPHY, FRONTOTEMPORAL', 'FRONTOTEMPORAL CEREBRAL ATROPHY']",5
69503,EXCESS NUCHAL SKIN|INCREASED NUCHAL FOLD THICKNESS|THICKENED NUCHAL SKIN|THICKENED SKIN FOLDS OF NECK|THICKENED SKIN OVER THE NECK|THICKENED NUCHAL SKIN FOLD,"['EXCESS NUCHAL SKIN', 'INCREASED NUCHAL FOLD THICKNESS', 'THICKENED NUCHAL SKIN', 'THICKENED SKIN FOLDS OF NECK', 'THICKENED SKIN OVER THE NECK', 'THICKENED NUCHAL SKIN FOLD']",5
