Id,modularity_class,properties._n_name,properties.n_name
14082,15,"nan, SANDIFER SYNDROME|SANDIFER'S SYNDROME, SÍNDROME DE SANDIFER, SANDIFER SYNDROME, SANDIFER'S SYNDROME|SANDIFER SYNDROME, SANDIFER SYNDROME|SANDIFER'S SYNDROME, SANDIFER'S SYNDROME|SANDIFER SYNDROME, SANDIFER'S SYNDROME|SANDIFER SYNDROME","nan, ['SANDIFER SYNDROME', ""SANDIFER'S SYNDROME""], SÍNDROME DE SANDIFER, SANDIFER SYNDROME, [""SANDIFER'S SYNDROME"", 'SANDIFER SYNDROME'], ['SANDIFER SYNDROME', ""SANDIFER'S SYNDROME""], [""SANDIFER'S SYNDROME"", 'SANDIFER SYNDROME'], [""SANDIFER'S SYNDROME"", 'SANDIFER SYNDROME']"
48652,15,"ACID REFLUX|ACID REFLUX DISEASE|GASTROESOPHAGEAL REFLUX DISEASE|GERD|HEARTBURN|GASTROESOPHAGEAL REFLUX, ACID REFLUX|GASTRESOPHAGEAL REFLUX|GASTRO-ESOPHAGEAL REFLUX|GASTROESOPHAGEAL REFLUX|GASTROESOPHAGEAL REFLUX DISEASE|GERD|GERD - GASTRO-ESOPHAGEAL REFLUX DISEASE, ESOPHAGEAL REFLUX NOS|GASTRO-ESOPHAGEAL REFLUX DISEASE WITHOUT ESOPHAGITIS, GASTRO-ESOPHAGEAL REFLUX DISEASE, GASTROESOPHAGEAL REFLUX DISEASE, GASTROESOPHAGEAL REFLUX, GASTRIC REFLUX, GASTROESOPHAGEAL REFLUX DISEASE|GASTROESOPHAGEAL REFLUX, PEDIATRIC|GER|GERD|GASTROESOPHAGEAL REFLUX, ACID REFLUX, GASTRIC|ESOPHAGEAL REFLUX|GASTRIC ACID REFLUX|GASTRIC ACID REFLUX DISEASE|GASTRO ESOPHAGEAL REFLUX|GASTRO OESOPHAGEAL REFLUX|GASTRO-ESOPHAGEAL REFLUX|GASTRO-OESOPHAGEAL REFLUX|GASTROESOPHAGEAL REFLUX DISEASE|GERD|REFLUX, GASTRIC ACID|REFLUX, GASTRO-ESOPHAGEAL|REFLUX, GASTRO-OESOPHAGEAL|REFLUX, GASTROESOPHAGEAL|GASTROESOPHAGEAL REFLUX, GASTROESOPHAGEAL REFLUX|GASTROESOPHAGEAL REFLUX DISEASE|GERD|ACID REFLUX, GASTROESOPHAGEAL REFLUX DISEASE|GERD|REFLUX DISEASE, GASTROESOPHAGEAL REFLUX DISEASE|ACID REFLUX|ACID REFLUX, GASTRIC|ESOPHAGEAL REFLUX|GASTRESOPHAGEAL REFLUX|GASTRIC ACID REFLUX|GASTRIC ACID REFLUX DISEASE|GASTRIC REFLUX|GASTRO ESOPHAGEAL REFLUX|GASTRO OESOPHAGEAL REFLUX|GASTRO-ESOPHAGEAL REFLUX|GASTRO-ESOPHAGEAL REFLUX DISEASE|GASTRO-OESOPHAGEAL REFLUX|GASTROESOPHAGEAL REFLUX|GASTROESOPHAGEAL REFLUX, PEDIATRIC|GER|GERD|GERD - GASTRO-ESOPHAGEAL REFLUX DISEASE|GOR - GASTRO-ESOPHAGEAL REFLUX|GORD - GASTRO-ESOPHAGEAL REFLUX DISEASE|REFLUX, GASTRIC ACID|REFLUX, GASTRO-ESOPHAGEAL|REFLUX, GASTRO-OESOPHAGEAL|REFLUX, GASTROESOPHAGEAL","['ACID REFLUX', 'ACID REFLUX DISEASE', 'GASTROESOPHAGEAL REFLUX DISEASE', 'GERD', 'HEARTBURN', 'GASTROESOPHAGEAL REFLUX'], ['ACID REFLUX', 'GASTRESOPHAGEAL REFLUX', 'GASTRO-ESOPHAGEAL REFLUX', 'GASTROESOPHAGEAL REFLUX', 'GASTROESOPHAGEAL REFLUX DISEASE', 'GERD', 'GERD - GASTRO-ESOPHAGEAL REFLUX DISEASE'], ['ESOPHAGEAL REFLUX NOS', 'GASTRO-ESOPHAGEAL REFLUX DISEASE WITHOUT ESOPHAGITIS'], GASTRO-ESOPHAGEAL REFLUX DISEASE, GASTROESOPHAGEAL REFLUX DISEASE, GASTROESOPHAGEAL REFLUX, GASTRIC REFLUX, ['GASTROESOPHAGEAL REFLUX DISEASE', 'GASTROESOPHAGEAL REFLUX, PEDIATRIC', 'GER', 'GERD', 'GASTROESOPHAGEAL REFLUX'], ['ACID REFLUX, GASTRIC', 'ESOPHAGEAL REFLUX', 'GASTRIC ACID REFLUX', 'GASTRIC ACID REFLUX DISEASE', 'GASTRO ESOPHAGEAL REFLUX', 'GASTRO OESOPHAGEAL REFLUX', 'GASTRO-ESOPHAGEAL REFLUX', 'GASTRO-OESOPHAGEAL REFLUX', 'GASTROESOPHAGEAL REFLUX DISEASE', 'GERD', 'REFLUX, GASTRIC ACID', 'REFLUX, GASTRO-ESOPHAGEAL', 'REFLUX, GASTRO-OESOPHAGEAL', 'REFLUX, GASTROESOPHAGEAL', 'GASTROESOPHAGEAL REFLUX'], ['GASTROESOPHAGEAL REFLUX', 'GASTROESOPHAGEAL REFLUX DISEASE', 'GERD', 'ACID REFLUX'], ['GASTROESOPHAGEAL REFLUX DISEASE', 'GERD', 'REFLUX DISEASE'], ['GASTROESOPHAGEAL REFLUX DISEASE', 'ACID REFLUX', 'ACID REFLUX, GASTRIC', 'ESOPHAGEAL REFLUX', 'GASTRESOPHAGEAL REFLUX', 'GASTRIC ACID REFLUX', 'GASTRIC ACID REFLUX DISEASE', 'GASTRIC REFLUX', 'GASTRO ESOPHAGEAL REFLUX', 'GASTRO OESOPHAGEAL REFLUX', 'GASTRO-ESOPHAGEAL REFLUX', 'GASTRO-ESOPHAGEAL REFLUX DISEASE', 'GASTRO-OESOPHAGEAL REFLUX', 'GASTROESOPHAGEAL REFLUX', 'GASTROESOPHAGEAL REFLUX, PEDIATRIC', 'GER', 'GERD', 'GERD - GASTRO-ESOPHAGEAL REFLUX DISEASE', 'GOR - GASTRO-ESOPHAGEAL REFLUX', 'GORD - GASTRO-ESOPHAGEAL REFLUX DISEASE', 'REFLUX, GASTRIC ACID', 'REFLUX, GASTRO-ESOPHAGEAL', 'REFLUX, GASTRO-OESOPHAGEAL', 'REFLUX, GASTROESOPHAGEAL']"
122072,15,"DIGESTIVE DISEASES, GASTROINTESTINAL DISEASES, ABNORMALITY OF THE GASTROINTESTINAL TRACT|ABNORMALITY OF THE GI TRACT|DIGESTIVE SYSTEM DISEASE|GASTROINTESTINAL DISEASE, CHOLERA INFANTUM|DISEASE, GASTROINTESTINAL|DISEASES, GASTROINTESTINAL|FUNCTIONAL GASTROINTESTINAL DISORDER|FUNCTIONAL GASTROINTESTINAL DISORDERS|GASTROINTESTINAL DISEASE|GASTROINTESTINAL DISORDER|GASTROINTESTINAL DISORDER, FUNCTIONAL|GASTROINTESTINAL DISORDERS|GASTROINTESTINAL DISORDERS, FUNCTIONAL|GASTROINTESTINAL DISEASES, DIGESTIVE SYSTEM DISORDER|DIGESTIVE DISEASE|DIGESTIVE SYSTEM DISEASE|DISORDER OF DIGESTIVE SYSTEM|GASTROINTESTINAL DISORDER|GASTROINTESTINAL SYSTEM DISEASE|GASTROINTESTINAL SYSTEM DISORDER|STOMACH OR INTESTINAL DISORDER, DISEASES, GASTROINTESTINAL|DIGESTIVE DISEASE|DIGESTIVE SYSTEM DISEASE|DIGESTIVE SYSTEM DISORDER|DISEASE, GASTROINTESTINAL|DISORDER OF GASTROINTESTINAL TRACT|GASTROENTEROPATHY|GASTROINTESTINAL DISEASE|GASTROINTESTINAL DISEASES|GASTROINTESTINAL DISORDER|GASTROINTESTINAL DISORDERS|GASTROINTESTINAL SYSTEM DISEASE|GASTROINTESTINAL SYSTEM DISORDER|GIT DISEASES|STOMACH OR INTESTINAL DISORDER","DIGESTIVE DISEASES, GASTROINTESTINAL DISEASES, ['ABNORMALITY OF THE GASTROINTESTINAL TRACT', 'ABNORMALITY OF THE GI TRACT', 'DIGESTIVE SYSTEM DISEASE', 'GASTROINTESTINAL DISEASE'], ['CHOLERA INFANTUM', 'DISEASE, GASTROINTESTINAL', 'DISEASES, GASTROINTESTINAL', 'FUNCTIONAL GASTROINTESTINAL DISORDER', 'FUNCTIONAL GASTROINTESTINAL DISORDERS', 'GASTROINTESTINAL DISEASE', 'GASTROINTESTINAL DISORDER', 'GASTROINTESTINAL DISORDER, FUNCTIONAL', 'GASTROINTESTINAL DISORDERS', 'GASTROINTESTINAL DISORDERS, FUNCTIONAL', 'GASTROINTESTINAL DISEASES'], ['DIGESTIVE SYSTEM DISORDER', 'DIGESTIVE DISEASE', 'DIGESTIVE SYSTEM DISEASE', 'DISORDER OF DIGESTIVE SYSTEM', 'GASTROINTESTINAL DISORDER', 'GASTROINTESTINAL SYSTEM DISEASE', 'GASTROINTESTINAL SYSTEM DISORDER', 'STOMACH OR INTESTINAL DISORDER'], ['DISEASES, GASTROINTESTINAL', 'DIGESTIVE DISEASE', 'DIGESTIVE SYSTEM DISEASE', 'DIGESTIVE SYSTEM DISORDER', 'DISEASE, GASTROINTESTINAL', 'DISORDER OF GASTROINTESTINAL TRACT', 'GASTROENTEROPATHY', 'GASTROINTESTINAL DISEASE', 'GASTROINTESTINAL DISEASES', 'GASTROINTESTINAL DISORDER', 'GASTROINTESTINAL DISORDERS', 'GASTROINTESTINAL SYSTEM DISEASE', 'GASTROINTESTINAL SYSTEM DISORDER', 'GIT DISEASES', 'STOMACH OR INTESTINAL DISORDER']"
60942,15,"AUTOIMMUNE DISEASE|AUTOIMMUNE DISEASE OR DISORDER|AUTOIMMUNE DISEASES|AUTOIMMUNE DISORDER|AUTOIMMUNE DISORDERS|DISEASE, AUTOIMMUNE|DISEASES, AUTOIMMUNE, AUTOINFLAMMATORY DISORDERS, AUTOIMMUNE DISEASES, AUTOIMMUNE DISORDERS, AUTOIMMUNE DISEASE, AUTOIMMUNE DISEASE, AUTOIMMUNE CONDITION|AUTOIMMUNE DISEASE|AUTOIMMUNE DISORDER|AUTOIMMUNITY, AUTOIMMUNE DISEASE|DISEASE, AUTOIMMUNE|DISEASES, AUTOIMMUNE|AUTOIMMUNE DISEASES, AUTOIMMUNE DISORDER, AUTOIMMUNE DISEASE|AUTOIMMUNE DISORDER|DISEASE, AUTOIMMUNE, AUTOIMMUNE DISEASE NOS|COLLAGEN (VASCULAR) DISEASE NOS|SYSTEMIC AUTOIMMUNE DISEASE|SYSTEMIC COLLAGEN (VASCULAR) DISEASE|SYSTEMIC CONNECTIVE TISSUE DISORDERS (M30-M36)","['AUTOIMMUNE DISEASE', 'AUTOIMMUNE DISEASE OR DISORDER', 'AUTOIMMUNE DISEASES', 'AUTOIMMUNE DISORDER', 'AUTOIMMUNE DISORDERS', 'DISEASE, AUTOIMMUNE', 'DISEASES, AUTOIMMUNE'], AUTOINFLAMMATORY DISORDERS, AUTOIMMUNE DISEASES, AUTOIMMUNE DISORDERS, AUTOIMMUNE DISEASE, AUTOIMMUNE DISEASE, ['AUTOIMMUNE CONDITION', 'AUTOIMMUNE DISEASE', 'AUTOIMMUNE DISORDER', 'AUTOIMMUNITY'], ['AUTOIMMUNE DISEASE', 'DISEASE, AUTOIMMUNE', 'DISEASES, AUTOIMMUNE', 'AUTOIMMUNE DISEASES'], AUTOIMMUNE DISORDER, ['AUTOIMMUNE DISEASE', 'AUTOIMMUNE DISORDER', 'DISEASE, AUTOIMMUNE'], ['AUTOIMMUNE DISEASE NOS', 'COLLAGEN (VASCULAR) DISEASE NOS', 'SYSTEMIC AUTOIMMUNE DISEASE', 'SYSTEMIC COLLAGEN (VASCULAR) DISEASE', 'SYSTEMIC CONNECTIVE TISSUE DISORDERS (M30-M36)']"
51702,15,"SYNDROME, CLUSTER, SYMPTOM|CLUSTERS, SYMPTOM|SYMPTOM CLUSTER|SYMPTOM CLUSTERS|SYNDROMES|SYNDROME, SYNDROME, SYNDROMIC DISEASE|CLUSTER, SYMPTOM|CLUSTERS, SYMPTOM|SYMPTOM CLUSTER|SYMPTOM CLUSTERS|SYNDROME|SYNDROME ASSOCIATED WITH DISEASE OR DISORDER|SYNDROMES|SYNDROMIC DISEASE OR DISORDER","SYNDROME, ['CLUSTER, SYMPTOM', 'CLUSTERS, SYMPTOM', 'SYMPTOM CLUSTER', 'SYMPTOM CLUSTERS', 'SYNDROMES', 'SYNDROME'], SYNDROME, ['SYNDROMIC DISEASE', 'CLUSTER, SYMPTOM', 'CLUSTERS, SYMPTOM', 'SYMPTOM CLUSTER', 'SYMPTOM CLUSTERS', 'SYNDROME', 'SYNDROME ASSOCIATED WITH DISEASE OR DISORDER', 'SYNDROMES', 'SYNDROMIC DISEASE OR DISORDER']"
11190,15,"nan, SUSAC SYNDROME|RETINOCOCHLEOCEREBRAL VASCULOPATHY|SICRET (SMALL INFARCTION OF COCHLEAR, RETINAL, AND ENCEPHALIC TISSUE) SYNDROME, SÍNDROME DE SUSAC, SUSAC SYNDROME, SUSAC SYNDROME, RETINOCOCHLEOCEREBRAL VASCULOPATHIES|RETINOCOCHLEOCEREBRAL VASCULOPATHY|SUSAC'S SYNDROME|SUSACS SYNDROME|SYNDROME, SUSAC|SYNDROME, SUSAC'S|VASCULOPATHIES, RETINOCOCHLEOCEREBRAL|VASCULOPATHY, RETINOCOCHLEOCEREBRAL|SUSAC SYNDROME, SUSAC SYNDROME|RETINOCOCHLEOCEREBRAL VASCULOPATHIES|RETINOCOCHLEOCEREBRAL VASCULOPATHY|SICRET (SMALL INFARCTION OF COCHLEAR, RETINAL, AND ENCEPHALIC TISSUE) SYNDROME|SUSAC'S SYNDROME|SUSACS SYNDROME|SYNDROME, SUSAC|SYNDROME, SUSAC'S|VASCULOPATHIES, RETINOCOCHLEOCEREBRAL|VASCULOPATHY, RETINOCOCHLEOCEREBRAL, RED-M|RETINOCOCHLEOCEREBRAL VASCULOPATHY|RETINOPATHY-ENCEPHALOPATHY-DEAFNESS ASSOCIATED WITH MICROANGIOPATHY|SICRET SYNDROME|SMALL INFARCTIONS OF COCHLEAR, RETINAL AND ENCEPHALIC TISSUE|SICRET (SMALL INFARCTION OF COCHLEAR, RETINAL, AND ENCEPHALIC TISSUE) SYNDROME|SUSAC SYNDROME, RED-M|RETINOCOCHLEOCEREBRAL VASCULOPATHY|RETINOPATHY-ENCEPHALOPATHY-DEAFNESS ASSOCIATED WITH MICROANGIOPATHY|SICRET SYNDROME|SMALL INFARCTIONS OF COCHLEAR, RETINAL AND ENCEPHALIC TISSUE|SUSAC SYNDROME|SUSAC'S SYNDROME|SICRET (SMALL INFARCTION OF COCHLEAR, RETINAL, AND ENCEPHALIC TISSUE) SYNDROME, SUSAC SYNDROME","nan, ['SUSAC SYNDROME', 'RETINOCOCHLEOCEREBRAL VASCULOPATHY', 'SICRET (SMALL INFARCTION OF COCHLEAR, RETINAL, AND ENCEPHALIC TISSUE) SYNDROME'], SÍNDROME DE SUSAC, SUSAC SYNDROME, SUSAC SYNDROME, ['RETINOCOCHLEOCEREBRAL VASCULOPATHIES', 'RETINOCOCHLEOCEREBRAL VASCULOPATHY', ""SUSAC'S SYNDROME"", 'SUSACS SYNDROME', 'SYNDROME, SUSAC', ""SYNDROME, SUSAC'S"", 'VASCULOPATHIES, RETINOCOCHLEOCEREBRAL', 'VASCULOPATHY, RETINOCOCHLEOCEREBRAL', 'SUSAC SYNDROME'], ['SUSAC SYNDROME', 'RETINOCOCHLEOCEREBRAL VASCULOPATHIES', 'RETINOCOCHLEOCEREBRAL VASCULOPATHY', 'SICRET (SMALL INFARCTION OF COCHLEAR, RETINAL, AND ENCEPHALIC TISSUE) SYNDROME', ""SUSAC'S SYNDROME"", 'SUSACS SYNDROME', 'SYNDROME, SUSAC', ""SYNDROME, SUSAC'S"", 'VASCULOPATHIES, RETINOCOCHLEOCEREBRAL', 'VASCULOPATHY, RETINOCOCHLEOCEREBRAL'], ['RED-M', 'RETINOCOCHLEOCEREBRAL VASCULOPATHY', 'RETINOPATHY-ENCEPHALOPATHY-DEAFNESS ASSOCIATED WITH MICROANGIOPATHY', 'SICRET SYNDROME', 'SMALL INFARCTIONS OF COCHLEAR, RETINAL AND ENCEPHALIC TISSUE', 'SICRET (SMALL INFARCTION OF COCHLEAR, RETINAL, AND ENCEPHALIC TISSUE) SYNDROME', 'SUSAC SYNDROME'], ['RED-M', 'RETINOCOCHLEOCEREBRAL VASCULOPATHY', 'RETINOPATHY-ENCEPHALOPATHY-DEAFNESS ASSOCIATED WITH MICROANGIOPATHY', 'SICRET SYNDROME', 'SMALL INFARCTIONS OF COCHLEAR, RETINAL AND ENCEPHALIC TISSUE', 'SUSAC SYNDROME', ""SUSAC'S SYNDROME"", 'SICRET (SMALL INFARCTION OF COCHLEAR, RETINAL, AND ENCEPHALIC TISSUE) SYNDROME'], SUSAC SYNDROME"
1973429,15,"NON-NEOPLASTIC ESOPHAGEAL DISORDER, NON-NEOPLASTIC ESOPHAGEAL DISORDER","NON-NEOPLASTIC ESOPHAGEAL DISORDER, NON-NEOPLASTIC ESOPHAGEAL DISORDER"
62653,15,CORTICOSPINAL TRACT DYSFUNCTION|PYRAMIDAL TRACT DYSFUNCTION|UPPER MOTOR NEURON DYSFUNCTION,"['CORTICOSPINAL TRACT DYSFUNCTION', 'PYRAMIDAL TRACT DYSFUNCTION', 'UPPER MOTOR NEURON DYSFUNCTION']"
98763,15,"ESOPHAGEAL HIATUS OF DIAPHRAGM|OESOPHAGEAL APERTURE|OESOPHAGEAL HIATUS|ESOPHAGEAL HIATUS, ESOPHAGEAL HIATUS OF DIAPHRAGM|OESOPHAGEAL APERTURE|OESOPHAGEAL HIATUS|ESOPHAGEAL HIATUS, ESOPHAGEAL HIATUS OF DIAPHRAGM|OESOPHAGEAL APERTURE|OESOPHAGEAL HIATUS|ESOPHAGEAL HIATUS, HIATAL HERNIA|STOMACH HERNIA|HIATUS HERNIA","['ESOPHAGEAL HIATUS OF DIAPHRAGM', 'OESOPHAGEAL APERTURE', 'OESOPHAGEAL HIATUS', 'ESOPHAGEAL HIATUS'], ['ESOPHAGEAL HIATUS OF DIAPHRAGM', 'OESOPHAGEAL APERTURE', 'OESOPHAGEAL HIATUS', 'ESOPHAGEAL HIATUS'], ['ESOPHAGEAL HIATUS OF DIAPHRAGM', 'OESOPHAGEAL APERTURE', 'OESOPHAGEAL HIATUS', 'ESOPHAGEAL HIATUS'], ['HIATAL HERNIA', 'STOMACH HERNIA', 'HIATUS HERNIA']"
208934,15,INFLAMMATION OF THE ESOPHAGUS|OESOPHAGITIS|ESOPHAGITIS,"['INFLAMMATION OF THE ESOPHAGUS', 'OESOPHAGITIS', 'ESOPHAGITIS']"
