Id,Label,timeset,properties._n_name,properties.n_name,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,eigencentrality
5381165,,,,,5,0,0,0,0,0,0,0,0.012868,0
5391601,,,,,5,0,0,0,0,0,0,0,0.012868,0
5392133,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381155,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381157,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381159,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381161,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381163,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381167,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381169,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381171,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381173,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381175,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381177,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381179,,,,,5,0,0,0,0,0,0,0,0.012868,0
5381297,,,,,5,0,0,0,0,0,0,0,0.012868,0
95420,,,RESTLESSNESS,['RESTLESSNESS'],5,0,0,0,0,0,0,0,0.012868,0
66313,,,BROCA'S APHASIA|EXPRESSIVE APHASIA|LOSS OF EXPRESSIVE SPEECH|MOTOR APHASIA,"[""BROCA'S APHASIA"", 'EXPRESSIVE APHASIA', 'LOSS OF EXPRESSIVE SPEECH', 'MOTOR APHASIA']",5,0,0,0,0,0,0,0,0.012868,0
139869,,,BRAINDRUSE|NEURITIC PLAQUES|SENILE DRUSE|SENILE PLAQUES,"['BRAINDRUSE', 'NEURITIC PLAQUES', 'SENILE DRUSE', 'SENILE PLAQUES']",5,0,0,0,0,0,0,0,0.012868,0
65958,,,BRAIN TUMOR|BRAIN TUMOUR|BRAIN NEOPLASM,"['BRAIN TUMOR', 'BRAIN TUMOUR', 'BRAIN NEOPLASM']",5,0,0,0,0,0,0,0,0.012868,0
164259,,,SPOKEN WORD RECOGNITION DEFICIT,SPOKEN WORD RECOGNITION DEFICIT,5,0,0,0,0,0,0,0,0.012868,0
156759,,,ABNORMAL BRAIN FDG PET SCAN|ABNORMAL BRAIN FDG POSITRON EMISSION TOMOGRAPHY,"['ABNORMAL BRAIN FDG PET SCAN', 'ABNORMAL BRAIN FDG POSITRON EMISSION TOMOGRAPHY']",5,0,0,0,0,0,0,0,0.012868,0
157444,,,EEG WITH CONTINUOUS SLOW ACTIVITY,EEG WITH CONTINUOUS SLOW ACTIVITY,5,0,0,0,0,0,0,0,0.012868,0
127653,,,TEMPORAL CORTICAL ATROPHY,TEMPORAL CORTICAL ATROPHY,5,0,0,0,0,0,0,0,0.012868,0
191436,,,GRAMMAR-SPECIFIC SPEECH DISORDER,['GRAMMAR-SPECIFIC SPEECH DISORDER'],5,0,0,0,0,0,0,0,0.012868,0
174926,,,"CEREBRAL ATROPHY, FRONTOTEMPORAL|FRONTOTEMPORAL CEREBRAL ATROPHY","['CEREBRAL ATROPHY, FRONTOTEMPORAL', 'FRONTOTEMPORAL CEREBRAL ATROPHY']",5,0,0,0,0,0,0,0,0.012868,0
69503,,,EXCESS NUCHAL SKIN|INCREASED NUCHAL FOLD THICKNESS|THICKENED NUCHAL SKIN|THICKENED SKIN FOLDS OF NECK|THICKENED SKIN OVER THE NECK|THICKENED NUCHAL SKIN FOLD,"['EXCESS NUCHAL SKIN', 'INCREASED NUCHAL FOLD THICKNESS', 'THICKENED NUCHAL SKIN', 'THICKENED SKIN FOLDS OF NECK', 'THICKENED SKIN OVER THE NECK', 'THICKENED NUCHAL SKIN FOLD']",5,0,0,0,0,0,0,0,0.012868,0
5381165.0,,,,,,40,20,60,1,1,1,0,0.016967,0.261996
5381157.0,,,,,,56,4,60,1,1,1,0,0.023444,0.782745
5381155.0,,,,,,60,0,60,0,0,0,0,0.029355,1
5381163.0,,,,,,44,16,60,1,1,1,0,0.017879,0.351539
5381161.0,,,,,,48,12,60,1,1,1,0,0.019073,0.464751
5381159.0,,,,,,52,8,60,1,1,1,0,0.020751,0.606565
5381167.0,,,,,,36,24,60,1,1,1,0,0.016235,0.191914
5381169.0,,,,,,32,28,60,1,1,1,0,0.01563,0.13772
5381171.0,,,,,,28,32,60,1,1,1,0,0.015116,0.096396
5381173.0,,,,,,24,36,60,1,1,1,0,0.014673,0.065403
5381175.0,,,,,,20,40,60,1,1,1,0,0.014284,0.042618
5381177.0,,,,,,16,44,60,1,1,1,0,0.01394,0.026279
5381179.0,,,,,,12,48,60,1,1,1,0,0.013631,0.01493
5381297.0,,,,,,8,52,60,1,1,1,0,0.013353,0.007379
5391601.0,,,,,,4,56,60,1,1,1,0,0.013099,0.002661
5392133.0,,,,,,0,60,60,1,1,1,0,0.012868,0
