Id,properties._n_name,properties.n_name,modularity_class,
169676,,HYPOAESTHESIA|HYPOESTHESIA|SENSORY IMPAIRMENT,"['HYPOAESTHESIA', 'HYPOESTHESIA', 'SENSORY IMPAIRMENT']",14
165786,,PARESTHESIAS|PINS AND NEEDLES FEELING|TINGLING|PARESTHESIA,"['PARESTHESIAS', 'PINS AND NEEDLES FEELING', 'TINGLING', 'PARESTHESIA']",14
136356,,ALLODYNIA,ALLODYNIA,14
73792,,CLUSTER HEADACHE|CLUSTER HEADACHE SYNDROME,"['CLUSTER HEADACHE', 'CLUSTER HEADACHE SYNDROME']",14
5283160,,ABNORMAL FIFTH CRANIAL NERVE PHYSIOLOGY,ABNORMAL FIFTH CRANIAL NERVE PHYSIOLOGY,14
64284,,PROBLEMS SPEAKING|POOR SPEECH|DIFFICULTY SPEAKING,"['PROBLEMS SPEAKING', 'POOR SPEECH', 'DIFFICULTY SPEAKING']",14
169431,,EPISODIC PAROXYSMAL ANXIETY,EPISODIC PAROXYSMAL ANXIETY,14
183068,,TWISTED BLOOD VESSELS|VASCULAR TORTUOSITY,"['TWISTED BLOOD VESSELS', 'VASCULAR TORTUOSITY']",14
178603,,LOWER JAW PAIN|MANDIBULAR PAIN,"['LOWER JAW PAIN', 'MANDIBULAR PAIN']",14
97555,,CRANIAL NERVE COMPRESSION,CRANIAL NERVE COMPRESSION,14
102397,,ABNORMAL TISSUE MASS|NEOPLASIA|ONCOLOGICAL ABNORMALITY|TUMOR|TUMOUR|CANCER|ONCOLOGY|NEOPLASM,"['ABNORMAL TISSUE MASS', 'NEOPLASIA', 'ONCOLOGICAL ABNORMALITY', 'TUMOR', 'TUMOUR', 'CANCER', 'ONCOLOGY', 'NEOPLASM']",14
163022,,DEMYELINATION IN CENTRAL WHITE MATTER|CNS DEMYELINATION,"['DEMYELINATION IN CENTRAL WHITE MATTER', 'CNS DEMYELINATION']",14
172559,,ATROPHY OF CEREBELLAR VERMIS|ATROPHY OF THE CEREBELLAR VERMIS|CEREBELLAR VERMIS ATROPHY,"['ATROPHY OF CEREBELLAR VERMIS', 'ATROPHY OF THE CEREBELLAR VERMIS', 'CEREBELLAR VERMIS ATROPHY']",14
154691,,DIABETES MELLITUS,DIABETES MELLITUS,14
