Id,modularity_class,properties._n_name,properties.n_name
6256,16,"CEREBROATROPHIC HYPERAMMONEMIA|RETT'S DISORDER|RETT SYNDROME, SÍNDROME DE RETT, AUTISM, SUSCEPTIBILITY TO, X-LINKED 3|ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATION|LUBS X-LINKED MENTAL RETARDATION SYNDROME|MECP2|MENTAL RETARDATION, X-LINKED, SYNDROMIC 13|RETT SYNDROME|RETT SYNDROME, ATYPICAL|RETT SYNDROME, ZAPPELLA VARIANT|METHYL-CPG-BINDING PROTEIN 2, ATYPICAL RETT SYNDROME|ATYPICAL RTT|RETT LIKE SYNDROME|RETT SYNDROME VARIANT|RETT SYNDROME, ATYPICAL, SÍNDROME DE RETT ATÍPICO, AUTISM DEMENTIA ATAXIA LOSS OF PURPOSEFUL HAND USE SYNDROME|AUTISM, DEMENTIA, ATAXIA, AND LOSS OF PURPOSEFUL HAND USE|AUTISM-DEMENTIA-ATAXIA-LOSS OF PURPOSEFUL HAND USE SYNDROME|CEREBROATROPHIC HYPERAMMONEMIA|CEREBROATROPHIC HYPERAMMONEMIAS|HYPERAMMONEMIA, CEREBROATROPHIC|HYPERAMMONEMIAS, CEREBROATROPHIC|RETT DISORDER|RETT'S DISORDER|RETT'S SYNDROME|RETTS SYNDROME|SYNDROME, RETT|SYNDROME, RETT'S|RETT SYNDROME, RETT SYNDROME, RETT SYNDROME, ATYPICAL RETT SYNDROME|RETT LIKE SYNDROME|RETT SYNDROME VARIANT, nan, PPM-X SYNDROME|MRXS13|PPMX|X-LINKED MENTAL RETARDATION, SYNDROMIC 13, RETT SYNDROME|AUTISM-DEMENTIA-ATAXIA-LOSS OF PURPOSEFUL HAND USE SYNDROME|RETT DISORDER|RETT'S DISORDER|RETT'S SYNDROME|RTT, AUTISM, DEMENTIA, ATAXIA, AND LOSS OF PURPOSEFUL HAND USE|RETT SYNDROME, ATYPICAL|RETT SYNDROME, PRESERVED SPEECH VARIANT|RETT SYNDROME, ZAPPELLA VARIANT|RTS|RTT|RETT SYNDROME, RETT SYNDROME|AUTISM, DEMENTIA, ATAXIA, AND LOSS OF PURPOSEFUL HAND USE, RETT SYNDROME, ATYPICAL, ATYPICAL RETT SYNDROME, RETT'S SYNDROME, RETT SYNDROME, RETT SYNDROME|AUTISM DEMENTIA ATAXIA LOSS OF PURPOSEFUL HAND USE SYNDROME|AUTISM, DEMENTIA, ATAXIA, AND LOSS OF PURPOSEFUL HAND USE|AUTISM-DEMENTIA-ATAXIA-LOSS OF PURPOSEFUL HAND USE SYNDROME|CEREBROATROPHIC HYPERAMMONEMIA|CEREBROATROPHIC HYPERAMMONEMIAS|CLASSIC RETT SYNDROME|HYPERAMMONEMIA, CEREBROATROPHIC|HYPERAMMONEMIAS, CEREBROATROPHIC|MECP2-RELATED DISORDERS|RETT DISORDER|RETT'S DISORDER|RETT'S SYNDROME|RETTS SYNDROME|RTS|RTS - RETT SYNDROME|RTT|SYNDROME, RETT|SYNDROME, RETT'S, ATYPICAL RETT SYNDROME|ATYPICAL RTT|RETT SYNDROME VARIANT|RETT LIKE SYNDROME, ATYPICAL RTT|RETT SYNDROME VARIANT|RETT LIKE SYNDROME|ATYPICAL RETT SYNDROME","['CEREBROATROPHIC HYPERAMMONEMIA', ""RETT'S DISORDER"", 'RETT SYNDROME'], SÍNDROME DE RETT, ['AUTISM, SUSCEPTIBILITY TO, X-LINKED 3', 'ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATION', 'LUBS X-LINKED MENTAL RETARDATION SYNDROME', 'MECP2', 'MENTAL RETARDATION, X-LINKED, SYNDROMIC 13', 'RETT SYNDROME', 'RETT SYNDROME, ATYPICAL', 'RETT SYNDROME, ZAPPELLA VARIANT', 'METHYL-CPG-BINDING PROTEIN 2'], ['ATYPICAL RETT SYNDROME', 'ATYPICAL RTT', 'RETT LIKE SYNDROME', 'RETT SYNDROME VARIANT', 'RETT SYNDROME, ATYPICAL'], SÍNDROME DE RETT ATÍPICO, ['AUTISM DEMENTIA ATAXIA LOSS OF PURPOSEFUL HAND USE SYNDROME', 'AUTISM, DEMENTIA, ATAXIA, AND LOSS OF PURPOSEFUL HAND USE', 'AUTISM-DEMENTIA-ATAXIA-LOSS OF PURPOSEFUL HAND USE SYNDROME', 'CEREBROATROPHIC HYPERAMMONEMIA', 'CEREBROATROPHIC HYPERAMMONEMIAS', 'HYPERAMMONEMIA, CEREBROATROPHIC', 'HYPERAMMONEMIAS, CEREBROATROPHIC', 'RETT DISORDER', ""RETT'S DISORDER"", ""RETT'S SYNDROME"", 'RETTS SYNDROME', 'SYNDROME, RETT', ""SYNDROME, RETT'S"", 'RETT SYNDROME'], RETT SYNDROME, RETT SYNDROME, ['ATYPICAL RETT SYNDROME', 'RETT LIKE SYNDROME', 'RETT SYNDROME VARIANT'], nan, ['PPM-X SYNDROME', 'MRXS13', 'PPMX', 'X-LINKED MENTAL RETARDATION, SYNDROMIC 13'], ['RETT SYNDROME', 'AUTISM-DEMENTIA-ATAXIA-LOSS OF PURPOSEFUL HAND USE SYNDROME', 'RETT DISORDER', ""RETT'S DISORDER"", ""RETT'S SYNDROME"", 'RTT'], ['AUTISM, DEMENTIA, ATAXIA, AND LOSS OF PURPOSEFUL HAND USE', 'RETT SYNDROME, ATYPICAL', 'RETT SYNDROME, PRESERVED SPEECH VARIANT', 'RETT SYNDROME, ZAPPELLA VARIANT', 'RTS', 'RTT', 'RETT SYNDROME'], ['RETT SYNDROME', 'AUTISM, DEMENTIA, ATAXIA, AND LOSS OF PURPOSEFUL HAND USE'], RETT SYNDROME, ATYPICAL, ATYPICAL RETT SYNDROME, RETT'S SYNDROME, RETT SYNDROME, ['RETT SYNDROME', 'AUTISM DEMENTIA ATAXIA LOSS OF PURPOSEFUL HAND USE SYNDROME', 'AUTISM, DEMENTIA, ATAXIA, AND LOSS OF PURPOSEFUL HAND USE', 'AUTISM-DEMENTIA-ATAXIA-LOSS OF PURPOSEFUL HAND USE SYNDROME', 'CEREBROATROPHIC HYPERAMMONEMIA', 'CEREBROATROPHIC HYPERAMMONEMIAS', 'CLASSIC RETT SYNDROME', 'HYPERAMMONEMIA, CEREBROATROPHIC', 'HYPERAMMONEMIAS, CEREBROATROPHIC', 'MECP2-RELATED DISORDERS', 'RETT DISORDER', ""RETT'S DISORDER"", ""RETT'S SYNDROME"", 'RETTS SYNDROME', 'RTS', 'RTS - RETT SYNDROME', 'RTT', 'SYNDROME, RETT', ""SYNDROME, RETT'S""], ['ATYPICAL RETT SYNDROME', 'ATYPICAL RTT', 'RETT SYNDROME VARIANT', 'RETT LIKE SYNDROME'], ['ATYPICAL RTT', 'RETT SYNDROME VARIANT', 'RETT LIKE SYNDROME', 'ATYPICAL RETT SYNDROME']"
79806,16,"LOSS OF DEVELOPMENTAL MILESTONES|MENTAL DETERIORATION IN CHILDHOOD|NEURODEVELOPMENTAL REGRESSION|PSYCHOMOTOR REGRESSION|PSYCHOMOTOR REGRESSION BEGINNING IN INFANCY|PSYCHOMOTOR REGRESSION IN INFANTS|PSYCHOMOTOR REGRESSION, PROGRESSIVE|DEVELOPMENTAL REGRESSION","['LOSS OF DEVELOPMENTAL MILESTONES', 'MENTAL DETERIORATION IN CHILDHOOD', 'NEURODEVELOPMENTAL REGRESSION', 'PSYCHOMOTOR REGRESSION', 'PSYCHOMOTOR REGRESSION BEGINNING IN INFANCY', 'PSYCHOMOTOR REGRESSION IN INFANTS', 'PSYCHOMOTOR REGRESSION, PROGRESSIVE', 'DEVELOPMENTAL REGRESSION']"
5389895,16,,
2597382,16,,
2598816,16,,
2599832,16,,
2598632,16,,
2598242,16,,
2595293,16,,
5347192,16,,
